rank,school,conf,asscoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category
23,South Carolina,SEC,Lorenzo Ward,750000.0,2400.0,752400.0,130555.0,3995600.0,Power Five
24,South Carolina,SEC,Jon Hoke,750000.0,2400.0,752400.0,130500.0,3995600.0,Power Five
25,Arkansas,SEC,Robb Smith,750000.0,2000.0,752000.0,250000.0,3529550.0,Power Five
26,Georgia Tech,ACC,Ted Roof,750000.0,0.0,750000.0,112500.0,2504665.0,Power Five
27,Oregon State,Pac-12,Kalani Sitake,730008.0,,730008.0,166111.0,2640300.0,Power Five
28,Mississippi,SEC,Dave Wommack,725000.0,800.0,725800.0,87000.0,3091000.0,Power Five
29,Florida,SEC,Geoff Collins,701500.0,,701500.0,236000.0,3728500.0,Power Five
30,Alabama,SEC,Lane Kiffin,680000.0,0.0,680000.0,149600.0,5227090.0,Power Five
31,LSU,SEC,Frank Wilson,660000.0,16067.0,676067.0,75000.0,5471236.0,Power Five
32,Missouri,SEC,Josh Henson,675000.0,0.0,675000.0,230417.0,3630000.0,Power Five
33,Arizona,Pac-12,Jeff Casteel,660000.0,10500.0,670500.0,55000.0,3036400.0,Power Five
34,West Virginia,Big 12,Tony Gibson,650000.0,0.0,650000.0,67500.0,2801000.0,Power Five
35,Texas,Big 12,Shawn Watson,650000.0,0.0,650000.0,180000.0,3906100.0,Power Five
36,Ohio State,Big Ten,Luke Fickell,640000.0,0.0,640000.0,244800.0,4021950.0,Power Five
